plot_tag,plot_type,label,section,role,dataset,child_features,expressions,units,child_selection_exists,plot_run_ok,has_warning,warning_text,exception_class,exception_message,status
pg05_electrolyte,PlotGroup3D,05 Electrolyte Chamber,V00_REACTOR,MAIN_SUPPORT,dset_liq_solution,surf:Surface,surf=1,surf=1,false,true,false,,,,PASS
pg06_ssc_true_scale,PlotGroup3D,Physical SSC - true scale | t=30 um LITERATURE_SAME_PLATFORM,V00_REACTOR,MAIN_SUPPORT,dset_physical_mesh,dset_physical_mesh:Mesh,dset_physical_mesh=,dset_physical_mesh=,false,true,false,,,,PASS
pg_liq_velocity,PlotGroup3D,REAL FLOW RESULTS | Electrolyte Velocity,V01_FLOW,MAIN_TEACHING,dset_liq_solution,surf:Surface;slice:Slice,surf=sqrt(u^2+v^2+w^2);slice=sqrt(u^2+v^2+w^2),surf=m/s;slice=m/s,false,true,false,,,,PASS
pg_liq_pressure,PlotGroup3D,REAL FLOW RESULTS | Electrolyte Pressure,V01_FLOW,MAIN_TEACHING,dset_liq_solution,surf:Surface;slice:Slice,surf=p;slice=p,surf=Pa;slice=Pa,false,true,false,,,,PASS
pg_liq_streamlines,PlotGroup3D,Liquid Streamlines,V01_FLOW,MAIN_TEACHING,dset_liq_solution,str:Streamline,str=u;v;w,str=m/s;m/s;m/s,true,true,false,,,,PASS
pg_liq_wall_shear,PlotGroup3D,REAL FLOW RESULTS | Electrolyte Wall Shear,V90_SI_SUPPORT,SI_SUPPORT,dset_liq_solution,surf:Surface,surf=sqrt((spf.T_stressx-(((spf.T_stressx)*nx+(spf.T_stressy)*ny+(spf.T_stressz)*nz))*nx)^2+(spf.T_stressy-(((spf.T_stressx)*nx+(spf.T_stressy)*ny+(spf.T_stressz)*nz))*ny)^2+(spf.T_stressz-(((spf.T_stressx)*nx+(spf.T_stressy)*ny+(spf.T_stressz)*nz))*nz)^2),surf=Pa,true,true,false,,,,PASS
pg_n2_streamlines,PlotGroup3D,N2 Streamlines,V01_FLOW,MAIN_TEACHING,dset_n2_solution,str:Streamline,str=u2;v2;w2,str=m/s;m/s;m/s,true,true,false,,,,PASS
pg_n2_wall_shear,PlotGroup3D,REAL FLOW RESULTS | N2 Wall Shear,V90_SI_SUPPORT,SI_SUPPORT,dset_n2_solution,surf:Surface,surf=sqrt((spf2.T_stressx-(((spf2.T_stressx)*nx+(spf2.T_stressy)*ny+(spf2.T_stressz)*nz))*nx)^2+(spf2.T_stressy-(((spf2.T_stressx)*nx+(spf2.T_stressy)*ny+(spf2.T_stressz)*nz))*ny)^2+(spf2.T_stressz-(((spf2.T_stressx)*nx+(spf2.T_stressy)*ny+(spf2.T_stressz)*nz))*nz)^2),surf=Pa,true,true,false,,,,PASS
pg_pipe_dp,PlotGroup1D,REDUCED MODEL RESULTS | External Pipe Pressure [REDUCED MODEL],V90_SI_SUPPORT,SI_SUPPORT,dset_std_pipe_n2,line:LineGraph,line=p_pfl_n2,line=Pa,false,true,false,,,,PASS
pg_ssc_dp,PlotGroup2D,REDUCED MODEL RESULTS | SSC Darcy Pressure [REDUCED MODEL],V90_SI_SUPPORT,SI_SUPPORT,dset_std_ssc_darcy,surf:Surface,surf=pDarcy,surf=Pa,false,true,false,,,,PASS
pg_ssc_velocity,PlotGroup2D,REDUCED MODEL RESULTS | SSC Darcy Velocity [REDUCED MODEL],V90_SI_SUPPORT,SI_SUPPORT,dset_std_ssc_darcy,surf:Surface,surf=u_ssc_darcy,surf=m/s,false,true,false,,,,PASS
pg_ssc_sl,PlotGroup2D,REDUCED MODEL RESULTS | SSC Liquid Saturation [REDUCED MODEL],V90_SI_SUPPORT,SI_SUPPORT,dset_std_ssc_wetting,surf:Surface,surf=s2,surf=1,false,true,false,,,,PASS
pg_ssc_sg,PlotGroup2D,REDUCED MODEL RESULTS | SSC Gas Saturation [REDUCED MODEL],V90_SI_SUPPORT,SI_SUPPORT,dset_std_ssc_wetting,surf:Surface,surf=s1,surf=1,false,true,false,,,,PASS
pg_penetration,PlotGroup2D,REDUCED MODEL RESULTS | Liquid Penetration [REDUCED MODEL],V90_SI_SUPPORT,SI_SUPPORT,dset_std_ssc_wetting,surf:Surface,"surf=if(s2>=Sl_breakthrough,x,0[m])",surf=m,false,true,false,,,,PASS
pg_flood_front,PlotGroup2D,REDUCED MODEL RESULTS | Flooding Front [REDUCED MODEL],V90_SI_SUPPORT,SI_SUPPORT,dset_std_ssc_wetting,cont:Contour,cont=s2,cont=1,false,true,false,,,,PASS
pg_n2_conc,PlotGroup2D,REDUCED MODEL RESULTS | N2 Transfer Concentration [REDUCED / PHENOMENOLOGICAL MODEL],V90_SI_SUPPORT,SI_SUPPORT,dset_std_n2_transfer,surf:Surface,surf=cN2d,surf=mol/m^3,false,true,false,,,,PASS
pg_n2_flux,PlotGroup2D,REDUCED MODEL RESULTS | N2 Transfer Flux [REDUCED / PHENOMENOLOGICAL MODEL],V90_SI_SUPPORT,SI_SUPPORT,dset_std_n2_transfer,surf:Surface,surf=sqrt((D_N2_local*cN2dx)^2+(D_N2_local*cN2dy)^2),surf=mol/(m^2*s),false,true,false,,,,PASS
pg_a4a_electrolyte_potential,PlotGroup3D,03 | IONICS | Electrolyte Potential | NOT FULL-CELL VOLTAGE,V03_IONICS,MAIN_TEACHING,dset_a4a_ohmic,vol:Volume,vol=cd.phil,vol=V,true,true,false,,,,PASS
pg_a4a_ionic_current_mag,PlotGroup3D,A4A Ionic Current Magnitude | real electrolyte,V90_ARCHIVE,INTERMEDIATE_SUPPORT,dset_a4a_ohmic,vol:Volume,vol=j_a4a_mag,vol=A/m^2,true,true,false,,,,PASS
pg_a4a_cathode_current,PlotGroup3D,A4A Cathode Local Current Density | real reaction plane,V90_ARCHIVE,INTERMEDIATE_SUPPORT,dset_a4a_ohmic,surf:Surface,surf=cd.nIl,surf=A/m^2,true,true,false,,,,PASS
pg_a4a_anode_current,PlotGroup3D,A4A Anode Local Current Density | real reaction plane,V90_ARCHIVE,INTERMEDIATE_SUPPORT,dset_a4a_ohmic,surf:Surface,surf=cd.nIl,surf=A/m^2,true,true,false,,,,PASS
pg_a4a_ohmic_heating,PlotGroup3D,A4A Derived Ohmic Heating | NO_THERMAL_FEEDBACK,V90_SI_SUPPORT,SI_SUPPORT,dset_a4a_ohmic,vol:Volume,vol=q_ohmic_a4a,vol=W/m^3,true,true,false,,,,PASS
pg_a4b_li_conc,PlotGroup3D,03 | IONICS | Li+ Concentration | PROVISIONAL SENSITIVITY,V03_IONICS,MAIN_TEACHING,dset_a4b_ionic_en,vol:Volume,vol=cLi_a4b,vol=mol/m^3,true,true,false,,,,PASS
pg_a4b_bf4_conc,PlotGroup3D,03 | IONICS | BF4- Concentration | PROVISIONAL SENSITIVITY,V03_IONICS,MAIN_TEACHING,dset_a4b_ionic_en,vol:Volume,vol=cBF4_a4b,vol=mol/m^3,true,true,false,,,,PASS
pg_a4b_li_flux_mag,PlotGroup3D,A4B Li+ Flux Magnitude | reduced binary NP,V90_SI_SUPPORT,SI_SUPPORT,dset_a4b_ionic_en,vol:Volume,vol=sqrt(NLi_a4b_x^2+NLi_a4b_y^2+NLi_a4b_z^2),vol=mol/(m^2*s),true,true,false,,,,PASS
pg_a4b_bf4_flux_mag,PlotGroup3D,A4B BF4- Flux Magnitude | reduced binary NP,V90_SI_SUPPORT,SI_SUPPORT,dset_a4b_ionic_en,vol:Volume,vol=sqrt(NBF4_a4b_x^2+NBF4_a4b_y^2+NBF4_a4b_z^2),vol=mol/(m^2*s),true,true,false,,,,PASS
pg_a4b_ionic_current_mag,PlotGroup3D,03 | IONICS | Ionic Current Density | SPECIES-FLUX IDENTITY,V03_IONICS,MAIN_TEACHING,dset_a4b_ionic_en,vol:Volume,vol=j_ion_a4b_mag,vol=A/m^2,true,true,false,,,,PASS
pg_a4b_cathode_current,PlotGroup3D,A4B Conservative Cathode Current | accepted A4A,V90_ARCHIVE,INTERMEDIATE_SUPPORT,dset_a4b_ionic_en,surf:Surface,"surf=withsol('sol19',cd.nIl)",surf=A/m^2,true,true,false,,,,PASS
pg_a4c_cathode_current,PlotGroup3D,04 | CURRENT DISTRIBUTION | Cathode Current Density | ELECTROLYTE OUTWARD,V04_CURRENT,MAIN_TEACHING,dset_a4b_ionic_en,surf:Surface,"surf=withsol('sol19',cd.nIl)",surf=A/m^2,true,true,false,,,,PASS
pg_a4c_anode_current,PlotGroup3D,04 | CURRENT DISTRIBUTION | Anode Current Density | ELECTROLYTE OUTWARD,V90_SI_SUPPORT,SI_SUPPORT,dset_a4b_ionic_en,surf:Surface,"surf=withsol('sol19',cd.nIl)",surf=A/m^2,true,true,false,,,,PASS
pg_a4c_nonuniformity,PlotGroup3D,04 | CURRENT DISTRIBUTION | Current Nonuniformity | MAGNITUDE DIAGNOSTIC,V04_CURRENT,MAIN_TEACHING,dset_a4b_ionic_en,surf:Surface,"surf=sqrt((withsol('sol19',cd.nIl))^2)",surf=A/m^2,true,true,false,,,,PASS
pg_a4c_crowding,PlotGroup3D,04 | CURRENT DISTRIBUTION | Current-Crowding Diagnostic | SPATIAL ASSOCIATION,V04_CURRENT,MAIN_TEACHING,dset_a4b_ionic_en,surf:Surface,"surf=(sqrt((withsol('sol19',cd.nIl))^2))/(10.0071933411891[A/m^2])",surf=1,true,true,false,,,,PASS
pg_a4d_rate,PlotGroup3D,05 | LI-EQUIVALENT DEPOSITION | Li-Equivalent Deposition Rate | NUMERICAL UPPER BOUND f=1,V90_SI_SUPPORT,SI_SUPPORT,dset_a4b_ionic_en,surf:Surface,"surf=(-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3])",surf=m/s,true,true,false,,,,PASS
pg_a4d_h9,PlotGroup3D,05 | LI-EQUIVALENT DEPOSITION | Li-Equivalent Thickness | 9 C | NUMERICAL UPPER BOUND f=1,V05_LI_EQUIVALENT,MAIN_TEACHING,dset_a4b_ionic_en,surf:Surface,"surf=((-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3]))*(234.131113423531[s])",surf=m,true,true,false,,,,PASS
pg_a4d_h45,PlotGroup3D,05 | LI-EQUIVALENT DEPOSITION | Li-Equivalent Thickness | 45 C | NUMERICAL UPPER BOUND f=1,V05_LI_EQUIVALENT,MAIN_TEACHING,dset_a4b_ionic_en,surf:Surface,"surf=((-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3]))*(1170.65556711765[s])",surf=m,true,true,false,,,,PASS
pg_a4d_h54,PlotGroup3D,05 | LI-EQUIVALENT DEPOSITION | Li-Equivalent Thickness | 54 C | NUMERICAL UPPER BOUND f=1,V05_LI_EQUIVALENT,MAIN_TEACHING,dset_a4b_ionic_en,surf:Surface,"surf=((-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3]))*(1404.78668054118[s])",surf=m,true,true,false,,,,PASS
pg_a4d_h99,PlotGroup3D,05 | LI-EQUIVALENT DEPOSITION | Li-Equivalent Thickness | 99 C | NUMERICAL UPPER BOUND f=1,V05_LI_EQUIVALENT,MAIN_TEACHING,dset_a4b_ionic_en,surf:Surface,"surf=((-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3]))*(2575.44224765884[s])",surf=m,true,true,false,,,,PASS
pg_a4d_h297,PlotGroup3D,05 | LI-EQUIVALENT DEPOSITION | Li-Equivalent Thickness | 297 C | NUMERICAL UPPER BOUND f=1,V05_LI_EQUIVALENT,MAIN_TEACHING,dset_a4b_ionic_en,surf:Surface,"surf=((-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3]))*(7726.32674297651[s])",surf=m,true,true,false,,,,PASS
pg_a4e_n2_current,PlotGroup3D,06 | SPATIAL CO-LIMITATION | N2-Current Spatial Overlap | DIAGNOSTIC ONLY,V06_COLIMITATION,MAIN_TEACHING,dset_a4b_ionic_en,surf:Surface,"surf=if(((withsol('sol15',cN2d))>=(1.23873815059718[mol/m^3])),1,0)+2*if(((sqrt((withsol('sol19',cd.nIl))^2))>=(11.2120528939174[A/m^2])),1,0)",surf=,true,true,false,,,,PASS
pg_a4e_donor_current,PlotGroup3D,06 | SPATIAL CO-LIMITATION | Donor-Current Spatial Overlap | GENERIC DONOR | CALIBRATION REQUIRED,V06_COLIMITATION,MAIN_TEACHING,dset_a4b_ionic_en,surf:Surface,"surf=if(((withsol('sol15',cDonor))>=(1.00000000000000[mol/m^3])),1,0)+2*if(((sqrt((withsol('sol19',cd.nIl))^2))>=(11.2120528939174[A/m^2])),1,0)",surf=,true,true,false,,,,PASS
pg_a4e_colim,PlotGroup3D,06 | SPATIAL CO-LIMITATION | N2-Li+-Donor-Current Co-Limitation | DIAGNOSTIC ONLY,V06_COLIMITATION,MAIN_TEACHING,dset_a4b_ionic_en,surf:Surface,"surf=if(((withsol('sol15',cN2d))>=(1.23873815059718[mol/m^3])),1,0)+2*if(((cLi_a4b)>=(1693.33555351719[mol/m^3])),1,0)+4*if(((withsol('sol15',cDonor))>=(1.00000000000000[mol/m^3])),1,0)+8*if(((sqrt((withsol('sol19',cd.nIl))^2))>=(11.2120528939174[A/m^2])),1,0)",surf=,true,true,false,,,,PASS
pg_a4e_robust,PlotGroup3D,06 | SPATIAL CO-LIMITATION | Classification Robustness | q=0.40/0.50/0.60,V06_COLIMITATION,MAIN_SUPPORT,dset_a4b_ionic_en,surf:Surface,"surf=if(((withsol('sol15',cN2d))>=(1.23873815059718[mol/m^3]))&&((cLi_a4b)>=(1693.33555351719[mol/m^3]))&&((withsol('sol15',cDonor))>=(1.00000000000000[mol/m^3]))&&((sqrt((withsol('sol19',cd.nIl))^2))>=(11.2120528939174[A/m^2])),1,0)",surf=,true,true,false,,,,PASS
pg_a4loss_phi,PlotGroup3D,07 | ELECTRICAL LOSS | Electrolyte Ohmic Drop | NOT FULL-CELL VOLTAGE,V07_ELECTRICAL,SI_SUPPORT,dset_a4a_ohmic,vol:Volume,vol=cd.phil,vol=V,true,true,false,,,,PASS
pg_a4loss_joule,PlotGroup3D,07 | ELECTRICAL LOSS | Joule Heating Density | NO THERMAL FEEDBACK,V07_ELECTRICAL,SI_SUPPORT,dset_a4a_ohmic,vol:Volume,vol=q_ohmic_a4a,vol=W/m^3,true,true,false,,,,PASS
