"run_id","case_id","source_quantity","source_value","source_unit","target_parameter","applied_value","applied_unit","consumer","expected_response","observed_response","relative_error","status","failure_reason"
"20260719_114249","EIS_AREA_PERTURBATION","EIS_area","0.0036300000000000000","m^2","A_EIS_dry_run","0.0036300000000000000","m^2","HFR conductivity inversion only","0.41663737185173827","0.41663737185173820","1.3323613046169956e-16","PASS",""
"20260719_114249","EIS_AREA_PERTURBATION","current_density_reporting_area","0.0027500000000000000","m^2","A_j_report_dry_run","0.0027500000000000000","m^2","j_reported equals current-run I_total divided by A_j_report","0.0091660221807380630","0.0091660221807380630","0.0000000000000000","PASS",""
"20260719_114249","REPORT_AREA_PERTURBATION","conductivity","0.49996484622208590","S/m","kappa_dry_run","0.49996484622208590","S/m","cd/ice1 conductivity via kappa_M033","3.0247873196436120e-05","3.0247873196435575e-05","1.8033969346844534e-14","PASS",""
"20260719_114249","REPORT_AREA_PERTURBATION","electrode_spacing","0.0040000000000000000","m","Hcell_dry_run","0.0040000000000000000","m","geom1 actual inlet height","0.0040000000000000000","0.0039999999999999190","2.0166160408230382e-14","PASS",""
"20260719_114249","REPORT_AREA_PERTURBATION","out_of_plane_thickness","0.055000000000000000","m","depth_dry_run","0.055000000000000000","m","all 2D-to-3D Wcell integrations","0.055000000000000000","0.055000000000000000","0.0000000000000000","PASS",""
"20260719_114249","REPORT_AREA_PERTURBATION","EIS_area","0.0030250000000000000","m^2","A_EIS_dry_run","0.0030250000000000000","m^2","HFR conductivity inversion only","0.49996484622208590","0.49996484622208590","0.0000000000000000","PASS",""
"20260719_114249","REPORT_AREA_PERTURBATION","current_density_reporting_area","0.0034375000000000000","m^2","A_j_report_dry_run","0.0034375000000000000","m^2","j_reported equals current-run I_total divided by A_j_report","0.0087993812935085300","0.0087993812935085300","0.0000000000000000","PASS",""
"20260719_114249","COMBINED_NONIDENTITY","conductivity","0.54541619587863910","S/m","kappa_dry_run","0.54541619587863910","S/m","cd/ice1 conductivity via kappa_M033","2.4748259887993234e-05","2.4748259887992820e-05","1.6702268366780760e-14","PASS",""
"20260719_114249","COMBINED_NONIDENTITY","electrode_spacing","0.0048000000000000000","m","Hcell_dry_run","0.0048000000000000000","m","geom1 actual inlet height","0.0048000000000000000","0.0047999999999999040","1.9877039828900916e-14","PASS",""
"20260719_114249","COMBINED_NONIDENTITY","out_of_plane_thickness","0.049500000000000000","m","depth_dry_run","0.049500000000000000","m","all 2D-to-3D Wcell integrations","0.049500000000000000","0.049500000000000000","0.0000000000000000","PASS",""
"20260719_114249","COMBINED_NONIDENTITY","EIS_area","0.0033275000000000000","m^2","A_EIS_dry_run","0.0033275000000000000","m^2","HFR conductivity inversion only","0.54541619587863910","0.54541619587863910","0.0000000000000000","PASS",""
"20260719_114249","COMBINED_NONIDENTITY","current_density_reporting_area","0.0030250000000000000","m^2","A_j_report_dry_run","0.0030250000000000000","m^2","j_reported equals current-run I_total divided by A_j_report","0.0081812429381794460","0.0081812429381794460","0.0000000000000000","PASS",""
