"imposed_current_density_A_m2","total_current_A","Umean_m_s","inlet_N2_molar_flow_mol_s","stoichiometric_N2_demand_mol_s","Theta","N2_conversion","NH3_outlet_rate_mol_s","min_cN2","min_cNH3","current_conservation_error","N2_balance_error","NH3_balance_error","nitrogen_balance_error","solver_status","scientific_status","failure_reason"
"100.000000000","0.302500000000","1.00000000000e-05","1.08494323627e-08","5.22531928521e-07","48.1621444377","48.1492969273","1.04508620126e-06","-359.733543337","0.000697874672801","4.82010991108e-15","0.000266755364670","0.000266832890583","8.32292131265e-08","SOLVED","OUTSIDE_MODEL_APPLICABILITY","prescribed demand exceeds inlet N2 capacity"
"100.000000000","0.302500000000","3.00000000000e-05","3.29978990922e-08","5.22531928521e-07","15.8353090014","15.8354536187","1.04507761090e-06","-199.637913659","-0.000905340202275","8.95148415670e-15","9.13258494716e-06","9.10998569789e-06","2.24790589010e-08","SOLVED","OUTSIDE_MODEL_APPLICABILITY","prescribed demand exceeds inlet N2 capacity"
"100.000000000","0.302500000000","0.000100000000000","1.09782068783e-07","5.22531928521e-07","4.75972018304","4.75797068738","1.04511568684e-06","-123.801833902","-0.0823150080436","6.74412423674e-15","0.000367562712481","0.000368292315019","7.47830857304e-07","SOLVED","OUTSIDE_MODEL_APPLICABILITY","prescribed demand exceeds inlet N2 capacity"
"100.000000000","0.302500000000","0.000300000000000","3.30006066937e-07","5.22531928521e-07","1.58340097614","1.58341801080","1.04506138512e-06","-81.9015782416","-0.523322857131","3.34095124749e-15","1.07582723280e-05","5.25280176119e-06","5.50548358907e-06","SOLVED","OUTSIDE_MODEL_APPLICABILITY","prescribed demand exceeds inlet N2 capacity"
"100.000000000","0.302500000000","0.00100000000000","1.09820981087e-06","5.22531928521e-07","0.475803369582","0.471951442790","1.04403991058e-06","-519.647414832","-139.484555206","7.69841872572e-16","0.00385192679213","0.00158406404063","0.00309822378397","SOLVED","FAILED_CONSERVATION","one_or_more_current_species_or_nitrogen_balance_exceeds_threshold"
"1000.00000000","3.02500000000","1.00000000000e-05","4.24092853046e-06","5.22531928521e-06","1.23211679888","2.22954584390","1.04510506281e-05","-31553.5171624","-392904.526223","6.22900794885e-15","0.809524751171","1.00003489191","0.283661169967","SOLVED","OUTSIDE_MODEL_APPLICABILITY","prescribed demand exceeds inlet N2 capacity"
"1000.00000000","3.02500000000","3.00000000000e-05","3.90280296660e-08","5.22531928521e-06","133.886320420","159.971019853","1.08128856453e-05","-685569.401406","-239274.072185","7.41854862080e-15","0.164084620316","0.0337007147034","0.134717853232","SOLVED","OUTSIDE_MODEL_APPLICABILITY","prescribed demand exceeds inlet N2 capacity"
"1000.00000000","3.02500000000","0.000100000000000","9.95557919625e-08","5.22531928521e-06","52.4863413992","53.3050000974","1.04800706847e-05","-2184.76517454","-420.809036488","1.39558872826e-15","0.0155975569336","0.00251864288201","0.0130351100457","SOLVED","OUTSIDE_MODEL_APPLICABILITY","prescribed demand exceeds inlet N2 capacity"
"1000.00000000","3.02500000000","0.000300000000000","3.29401791649e-07","5.22531928521e-06","15.8630566611","15.8614672541","1.04507544623e-05","-864.010016865","-1.61944965825","1.39548818183e-15","0.000100195509403","0.000112062710470","1.18683121689e-05","SOLVED","OUTSIDE_MODEL_APPLICABILITY","prescribed demand exceeds inlet N2 capacity"
"1000.00000000","3.02500000000","0.00100000000000","1.13933907503e-06","5.22531928521e-06","4.58627233958","4.40417498066","1.03696685051e-05","-109487.220488","-41453.3769516","1.13567423367e-14","0.0397048725928","0.00688277014024","0.0330783891197","SOLVED","OUTSIDE_MODEL_APPLICABILITY","prescribed demand exceeds inlet N2 capacity"
