"mesh","nx","ny","dof","solve_s","anode_current_A","cathode_current_A","current_balance_relative_error","simulated_voltage_V","analytic_voltage_V","voltage_relative_error","bulk_mean_current_density_A_m2","bulk_current_density_cv","side_leakage_relative_error","status","reason"
"coarse","40","20","986","2.33879770000","-0.100000000000","0.100000000000","1.44220430269e-14","0.264462809917","0.264462809917","1.07049785703e-14","33.0578512397","0.00000000000","5.44255219131e-16","PASS","all_thresholds_and_signs_pass"
"medium","80","40","3566","1.65200230000","-0.100000000000","0.100000000000","5.20825975204e-14","0.264462809917","0.264462809917","8.81586470491e-15","33.0578512397","4.56137176609e-08","1.01233838763e-15","PASS","all_thresholds_and_signs_pass"
"fine","160","80","13526","1.59301080000","-0.100000000000","0.100000000000","7.35591581452e-14","0.264462809918","0.264462809917","1.05013740759e-12","33.0578512397","5.94730115770e-08","1.84743115083e-15","PASS","all_thresholds_and_signs_pass"
