time_s,outlet_mol_s,E_1_s,F
0.00000000000000,-8.56670752062311e-110,-1.72656067428817e-103,0.00000000000000
0.500000000000000,2.36393483702552e-88,4.76434723184202e-82,1.19108680796051e-82
1.00000000000000,1.19677444892997e-85,2.41201616203316e-79,6.05386214124210e-80
1.49999999999999,1.47051630172936e-84,2.96372394102808e-78,8.61770010720246e-79
2.00000000000000,3.21541351824652e-83,6.48044364630673e-77,1.78038101117446e-77
2.49999999999998,1.39982785785661e-81,2.82125626949439e-75,7.39318986601087e-76
2.99999999999997,-5.92280417815865e-81,-1.19370023441335e-74,-1.53961753205862e-75
3.50000000000000,7.65424647716711e-79,1.54266045933879e-72,3.81141246716631e-73
4.00000000000000,-8.89708896424891e-78,-1.79314677013721e-71,-3.71606056379167e-72
4.49999999999998,2.30544590959199e-76,4.64646684227002e-70,1.07962743567611e-70
4.99999999999997,-2.27498865404834e-74,-4.58508234940411e-68,-1.12385814588857e-68
5.49999999999995,2.87323577794791e-73,5.79080806741703e-67,1.22068914353026e-67
5.99999999999994,8.80240441276439e-71,1.77406375339335e-64,4.46184329508709e-65
6.50000000000002,-1.19366648217963e-68,-2.40575226991915e-62,-5.92541064801308e-63
7.00000000000001,1.20930957227189e-66,2.43727983650483e-60,5.97380167803387e-61
7.50000000000004,-6.38066398963405e-65,-1.28597871397243e-58,-3.09427677223828e-59
8.00000000000000,1.98304339430130e-63,3.99668686221066e-57,9.36079479980905e-58
8.50000000000001,-3.67361470148139e-62,-7.40391645307778e-56,-1.65745399371613e-56
8.99999999999996,3.28326809805550e-61,6.61719986074093e-55,1.30345665448653e-55
9.49999999999999,1.48046764482980e-60,2.98378018505439e-54,1.04172070823083e-54
9.99999999999994,-8.01131332343563e-59,-1.61462481359919e-52,-3.85779545854810e-53
10.4999999999999,9.61559282341949e-58,1.93795625552956e-51,4.05545488956927e-52
10.9999999999999,-4.29234700498636e-57,-8.65092863432907e-51,-1.27269760574285e-51
11.5000000000000,-1.75301611243276e-56,-3.53308277869137e-50,-1.22681367110552e-50
11.9999999999999,2.87279031236896e-55,5.78991026234022e-49,1.23646912900693e-49
12.5000000000000,-7.53392991115207e-55,-1.51841148727492e-48,-1.11208202359595e-49
13.0000000000000,-5.10031361358121e-54,-1.02793294746514e-47,-3.06064344284128e-48
13.4999999999999,2.86222214458758e-53,5.76861085081404e-47,8.79105131552893e-48
14.0000000000000,5.09745238724887e-53,1.02735628707914e-46,4.88964856195478e-47
14.5000000000000,-4.98433419633085e-52,-1.00455809774963e-45,-1.76559131640880e-46
