time_s,outlet_mol_s,E_1_s,F
0.00000000000000,2.22479100692278e-107,4.48497234298567e-101,0.00000000000000
6.91449062827489,5.02867876165139e-66,1.01373500241539e-59,3.50473058687771e-59
13.8289812565498,4.32480349981589e-52,8.71840277363866e-46,3.01416571359259e-45
20.7434718848247,-4.17154782977756e-45,-8.40945355576207e-39,-2.90735378717835e-38
27.6579625130996,-1.41697033485755e-40,-2.85648078533779e-34,-9.87613628085045e-34
34.5724531413744,-2.66043983052528e-38,-5.36319996932527e-32,-1.87394148736405e-31
41.4869437696494,-1.15031836362977e-34,-2.31893514062876e-28,-8.02085578001113e-28
48.4014343979242,3.97317308154106e-32,8.00954846057831e-26,2.75305940494034e-25
55.3159250261991,5.51893193355647e-31,1.11256549526678e-24,4.39862752451308e-24
62.2304156544740,4.00557940400023e-30,8.07487660129580e-24,3.61618686617628e-23
69.1449062827488,-3.42295138299027e-27,-6.90035254382380e-21,-2.37921328000773e-20
76.0593969110238,2.90823951888648e-26,5.86274116013475e-20,1.55040999740660e-19
82.9738875392987,7.40144382539235e-24,1.49206243425808e-17,5.19419889361721e-17
89.8883781675734,-1.03160320842166e-22,-2.07961639736483e-16,-6.15448156970710e-16
96.8028687958483,-1.95378682707261e-22,-3.93865304931742e-16,-2.69611154134659e-15
103.717359424123,6.89864127714171e-20,1.39070210351825e-13,4.76742032553735e-13
110.631850052398,1.20081571390857e-18,2.42073311566989e-12,9.32661008655593e-12
117.546340680673,1.06359705854456e-17,2.14411303210505e-11,9.18229256397406e-11
124.460831308948,6.36660097924678e-17,1.28344771360083e-10,6.09669532350709e-10
131.375321937223,2.89514968232163e-16,5.83635326357058e-10,3.07115938894251e-09
138.289812565498,1.06811772342205e-15,2.15322627325192e-09,1.25331613296329e-08
145.204303193772,3.33486994521314e-15,6.72278853393181e-09,4.32197219299824e-08
152.118793822048,9.07989863278277e-15,1.83042335744922e-08,1.29744276841151e-07
159.033284450322,2.20439809859273e-14,4.44386213102926e-08,3.46661717887173e-07
165.947775078597,4.85417583068894e-14,9.78556829872383e-08,8.38608034648276e-07
172.862265706873,9.82808332359112e-14,1.98125045245631e-07,1.86188602040639e-06
179.776756335147,1.84997873448718e-13,3.72938556182083e-07,3.83619298051661e-06
186.691246963422,3.26735020023653e-13,6.58667498983565e-07,7.40270818077411e-06
193.605737591697,5.45644577078601e-13,1.09996886434851e-06,1.34827455071753e-05
200.520228219972,8.67301377361261e-13,1.74839914328800e-06,2.33302524545158e-05
207.434718848247,1.31957203188487e-12,2.66013483925705e-06,3.85716359078853e-05
214.349209476522,1.93116590222964e-12,3.89305136269707e-06,6.12276081972622e-05
221.263700104797,2.73007954436031e-12,5.50358717403424e-06,9.37140927470200e-05
228.178190733071,3.74205958760531e-12,7.54364509025396e-06,0.000138821575355188
235.092681361346,4.98925012528400e-12,1.00578655498463e-05,0.000199674315537416
242.007171989621,6.48918903377170e-12,1.30816032851225e-05,0.000279673135738751
248.921662617896,8.25381931266487e-12,1.66389342756759e-05,0.000382424324954461
255.836153246171,1.02895342529851e-11,2.07427468032927e-05,0.000511661966699307
262.750643874446,1.25969047739266e-11,2.53941917881215e-05,0.000671168681453132
269.665134502721,1.51707666114964e-11,3.05828585528859e-05,0.000864695076443826
276.579625130995,1.80012745239445e-11,3.62889000032649e-05,0.00109588715036017
283.494115759271,2.10741784866358e-11,4.24835894111405e-05,0.00136822297027109
290.408606387545,2.43715215679878e-11,4.91307272677671e-05,0.00168495613731710
297.323097015820,2.78724467275280e-11,5.61882677138326e-05,0.00204906973920695
304.237587644095,3.15539663003512e-11,6.36098697487629e-05,0.00246324128859190
311.152078272371,3.53916836793782e-11,7.13463520752258e-05,0.00292981805410663
318.066568900645,3.93604578968314e-11,7.93470328337533e-05,0.00345080205295462
324.981059528919,4.34341574962201e-11,8.75592334314898e-05,0.00402783795990028
331.895550157195,4.75876382555145e-11,9.59322654486968e-05,0.00466221308458794
338.810040785469,5.17979937240495e-11,0.000104419951605176,0.00535487984817442
345.724531413745,5.60419683832844e-11,0.000112975410932265,0.00610646894662232
352.639022042020,6.02984200526458e-11,0.000121556022754651,0.00691730164675435
359.553512670294,6.45468018509001e-11,0.000130120366465285,0.00778740866406384
366.468003298569,6.87686235818583e-11,0.000138631167543429,0.00871654864568280
373.382493926844,7.29474970737308e-11,0.000147055388954593,0.00970423715444770
380.296984555118,7.70680981715208e-11,0.000155362138623465,0.0107497687345799
387.211475183393,8.11172081271036e-11,0.000163524768779731,0.0118522390009393
394.125965811669,8.50834903486795e-11,0.000171520425905677,0.0130105724302899
401.040456439943,8.89567855828038e-11,0.000179328629888528,0.0142235436844038
407.954947068219,9.27283758123985e-11,0.000186931806014363,0.0154897958601832
414.869437696493,9.63908856132058e-11,0.000194315086111874,0.0168078598915159
421.783928324768,9.99401951696961e-11,0.000201470165015025,0.0181761865963791
428.698418953043,1.03371750516117e-10,0.000208387862351194,0.0195931663409527
435.612909581317,1.06682421703195e-10,0.000215061868432918,0.0210571359384786
442.527400209593,1.09870026088924e-10,0.000221487783256327,0.0225663951761698
449.441890837867,1.12933202136677e-10,0.000227662862089852,0.0241192191401345
456.356381466141,1.15871411573919e-10,0.000233586019825984,0.0257138696757890
463.270872094418,1.18684846960280e-10,0.000239257644647078,0.0273486062191084
470.185362722691,1.21374342005161e-10,0.000244679417233964,0.0290216953586337
477.099853350968,1.23941286859755e-10,0.000249854140002529,0.0307314191820738
484.014343979243,1.26387549407937e-10,0.000254785578433438,0.0324760824839642
490.928834607518,1.28715402810875e-10,0.000259478315008791,0.0342540189197974
497.843325235792,1.30927459270053e-10,0.000263937615684524,0.0360635961935315
504.757815864066,1.33026609831562e-10,0.000268169308541443,0.0379032203639316
511.672306492342,1.35015970180960e-10,0.000272179674512681,0.0397713393535947
518.586797120615,1.36898896857261e-10,0.000275975480069609,0.0416664461931942
525.501287748892,1.38678833195052e-10,0.000279563666655419,0.0435870813050299
532.415778377167,1.40359193198827e-10,0.000282951116586553,0.0455318329035261
539.330269005443,1.41943552015644e-10,0.000286145037027924,0.0474993379139037
546.244759633716,1.43435518044762e-10,0.000289152702177794,0.0494882833270060
553.159250261991,1.44838706883318e-10,0.000291981400744683,0.0514974064812201
560.073740890266,1.46156718859806e-10,0.000294638390656941,0.0535254950062238
566.988231518541,1.47393119824268e-10,0.000297130860337553,0.0555713864762753
573.902722146815,1.48551424862712e-10,0.000299465895873924,0.0576339678161167
580.817212775089,1.49635084638566e-10,0.000301650453483508,0.0597121744981839
587.731703403365,1.50647474093680e-10,0.000303691336736088,0.0618049895658724
594.646194031641,1.51591883263303e-10,0.000305595178037605,0.0639114425140412
601.560684659914,1.52471509919866e-10,0.000307368423800716,0.0660306080542331
608.475175288190,1.53289488339822e-10,0.000309017392436083,0.0681616050291190
615.389665916466,1.54048868974947e-10,0.000310548233371586,0.0703035953857434
622.304156544742,1.54752426570634e-10,0.000311966540236605,0.0724557816697819
629.218647173016,1.55402948724636e-10,0.000313277932569692,0.0746174051935816
636.133137801289,1.56003115083449e-10,0.000314487812289672,0.0767877453733721
643.047628429563,1.56555497095395e-10,0.000315601363197883,0.0789661182228149
649.962119057838,1.57062558478290e-10,0.000316623551920960,0.0811518748480905
656.876609686114,1.57527328949513e-10,0.000317560486088163,0.0833444046417986
663.791100314390,1.57952693926184e-10,0.000318417982432813,0.0855431382219854
670.705590942664,1.58339087323199e-10,0.000319196915687097,0.0877475293407345
677.620081570938,1.58689415498760e-10,0.000319903144799616,0.0899570550301169
684.534572199213,1.59004021551118e-10,0.000320537361424625,0.0921712149692444
691.449062827490,1.59286670059836e-10,0.000321107154605396,0.0943895374656319
698.363553455764,1.59537500146028e-10,0.000321612804797194,0.0966115780335788
705.278044084040,1.59759548540245e-10,0.000322060433767181,0.0988369143214415
712.192534712313,1.59953263704346e-10,0.000322450945572878,0.101065148267573
719.107025340587,1.60121097905136e-10,0.000322789283756738,0.103295902026915
726.021515968864,1.60263734333168e-10,0.000323076825567558,0.105528819606937
732.936006597138,1.60383101248313e-10,0.000323317458198410,0.107763563215572
739.850497225412,1.60480078924003e-10,0.000323512956198898,0.109999814634789
746.764987853689,1.60556132167800e-10,0.000323666272485220,0.112237271990564
753.679478481963,1.60612302904084e-10,0.000323779507480297,0.114475650879508
760.593969110237,1.60649651357168e-10,0.000323854798498022,0.116714681549126
767.508459738511,1.60669348114611e-10,0.000323894505334352,0.118954109794536
774.422950366787,1.60672104220674e-10,0.000323900061388574,0.121193694524863
781.337440995063,1.60659188915283e-10,0.000323874025330670,0.123433208450793
788.251931623339,1.60631015191163e-10,0.000323817229715672,0.125672436007310
795.166422251613,1.60588924117609e-10,0.000323732378014912,0.127911173854308
802.080912879887,1.60533077146393e-10,0.000323619795700184,0.130149229123481
808.995403508161,1.60464863573761e-10,0.000323482283463880,0.132386419754439
815.909894136438,1.60384235115511e-10,0.000323319743969526,0.134622573032959
822.824384764712,1.60292608837886e-10,0.000323135033891250,0.136857525784519
829.738875392986,1.60189763893838e-10,0.000322927708021882,0.139091123171637
836.653366021262,1.60077127661906e-10,0.000322700643824184,0.141323218765731
843.567856649536,1.59954339455116e-10,0.000322453114186666,0.143553673572512
850.482347277810,1.59822822312622e-10,0.000322187987824288,0.145782356001740
857.396837906087,1.59682149106258e-10,0.000321904403686282,0.148009141404162
864.311328534363,1.59533591849655e-10,0.000321604926034160,0.150233911018942
871.225819162634,1.59376809720485e-10,0.000321288867801719,0.152456552575168
878.140309790912,1.59212888607197e-10,0.000320958418039362,0.154676958994660
885.054800419186,1.59041568322108e-10,0.000320613052232856,0.156895028953943
891.969291047459,1.58863769190254e-10,0.000320254625672117,0.159110665730361
898.883781675735,1.58679301517550e-10,0.000319882755951465,0.161323777693384
905.798272304010,1.58488940336852e-10,0.000319499005465262,0.163534277291987
912.712762932282,1.58292658641964e-10,0.000319103319771520,0.165742082188509
919.627253560560,1.58091518654451e-10,0.000318697840210402,0.167947117260208
926.541744188835,1.57885111605217e-10,0.000318281742741324,0.170149311938569
933.456234817110,1.57673437494265e-10,0.000317855027364286,0.172348592806168
940.370725445382,1.57456887614592e-10,0.000317418482889686,0.174544889172688
947.285216073660,1.57236105277925e-10,0.000316973406174306,0.176738137558482
954.199706701936,1.57010563279320e-10,0.000316518734421867,0.178928275293101
961.114197330209,1.56780261618774e-10,0.000316054467632368,0.181115236031752
968.028687958485,1.56546507838598e-10,0.000315583241689844,0.183298962542539
