"mesh","n_length","n_height","cells","dof","Pe_H","Da_H","Umean_m_s","DN2_m2_s","kN2_m_s","N2_in_mol_s","N2_out_mol_s","N2_cathode_consumption_mol_s","NH3_in_mol_s","NH3_out_mol_s","NH3_cathode_generation_mol_s","N2_species_balance_error","NH3_species_balance_error","nitrogen_atom_balance_error","stoichiometric_ratio","stoichiometric_ratio_relative_error","min_cN2","max_cN2","min_cNH3","max_cNH3","N2_conversion","NH3_outlet_rate_mol_s","change_N2_conversion","change_NH3_outlet","change_N2_consumption","max_key_change","streamline","crosswind","concentration_order","status"
"coarse","80","40","3200","37015","10.0000000000","0.00100000000000","5.00000000000e-06","2.00000000000e-09","5.00000000000e-10","5.49999908495e-09","5.49250675102e-09","7.57161378388e-12","1.56997541245e-17","1.51460899447e-11","1.51432275678e-11","1.44145208574e-05","0.000187947994273","1.46733097392e-05","1.00000000000","0.00000000000","4.86274613306","5.82327314165","3.68031007157e-06","0.0203919480881","0.00136224275979","1.51460899447e-11","NaN","NaN","NaN","NaN","true","true","2","FAIL"
"medium","160","80","12800","144415","10.0000000000","0.00100000000000","5.00000000000e-06","2.00000000000e-09","5.00000000000e-10","5.49999994226e-09","5.49244919120e-09","7.55996502258e-12","4.24116149779e-20","1.51215064125e-11","1.51199300452e-11","1.67526527379e-06","0.000104243905154","1.81856753713e-06","1.00000000000","0.00000000000","4.95537805132","5.35096229486","3.63467855556e-06","0.0186312022204","0.00137286384417","1.51215064125e-11","0.00773644409311","0.00162309430152","0.00153847800853","0.00773644409311","true","true","2","FAIL"
"fine","320","160","51200","570415","10.0000000000","0.00100000000000","5.00000000000e-06","2.00000000000e-09","5.00000000000e-10","5.49999999912e-09","5.49244418359e-09","7.55621680803e-12","3.64776923937e-19","1.51129076876e-11","1.51124336161e-11","7.29605021655e-08","3.13445148560e-05","1.16024753039e-07","1.00000000000","0.00000000000","4.98005926028","5.13660417107","3.63032823280e-06","0.0178356720837","0.00137378464118","1.51129076876e-11","0.000670262993641","0.000568642080451","0.000495797869973","0.000670262993641","true","true","2","PASS"
