"case","mesh","FE_prescribed","predicted_N2_from_current_mol_s","integrated_N2_consumption_mol_s","current_to_N2_relative_error","predicted_NH3_from_current_mol_s","integrated_NH3_generation_mol_s","current_to_NH3_relative_error","NH3_to_N2_ratio","stoichiometric_relative_error","N2_inlet_mol_s","N2_outlet_mol_s","NH3_inlet_mol_s","NH3_outlet_mol_s","N2_species_balance_error","NH3_species_balance_error","nitrogen_balance_error","min_cN2","min_cNH3","status"
"coupled_low_conversion","coarse","1.00000000000","5.22531928521e-10","5.22531928521e-10","4.35331615229e-15","1.04506385704e-09","1.04506385704e-09","4.35331615229e-15","2.00000000000","0.00000000000","1.09999981156e-07","1.09477404959e-07","3.77686088368e-14","1.04519039052e-09","4.02444970596e-07","8.49269890105e-05","1.03179311339e-09","4.87182531633","-0.000142259003151","PASS"
"coupled_low_conversion","medium","1.00000000000","5.22531928521e-10","5.22531928521e-10","1.97878006922e-16","1.04506385704e-09","1.04506385704e-09","1.97878006922e-16","2.00000000000","0.00000000000","1.09999995584e-07","1.09477439776e-07","7.85257272211e-15","1.04512086925e-09","2.17087051154e-07","4.70372747073e-05","6.36585522207e-09","4.87118763996","-1.41352800594e-05","PASS"
"coupled_low_conversion","fine","1.00000000000","5.22531928521e-10","5.22531928521e-10","4.55119415922e-15","1.04506385704e-09","1.04506385704e-09","4.55119415922e-15","2.00000000000","0.00000000000","1.10000001212e-07","1.09477449194e-07","-2.41270159991e-15","1.04510160863e-09","1.82631901279e-07","3.84309910955e-05","6.69459492841e-11","4.87114772135","-7.63572387754e-08","PASS"
