Q_C,f_Li_current,classification,n_e_mol,Q_Li_equiv_C,n_Li_equiv_mol,m_Li_equiv_kg,V_Li_equiv_m3,mean_thickness_m,minimum_thickness_m,maximum_thickness_m,P10_thickness_m,P50_thickness_m,P90_thickness_m,std_thickness_m,CV_thickness,electron_ledger_relative,Li_equivalent_ledger_relative,status,notes
9.00000000000000,0.250000000000000,CURRENT_PARTITION_SENSITIVITY,9.32784269063596e-05,2.25000000000000,2.33196067265899e-05,1.61861390289260e-07,3.03111217770151e-10,7.88530743418706e-08,6.59988179343032e-11,1.38546972931820e-07,3.54982784776087e-08,8.83467598492883e-08,9.90068525433764e-08,2.43935259354550e-08,0.309354151871061,0.00000000000000,0.00000000000000,PASS,Li-EQUIVALENT; not predicted retained metallic Li; area-weighted scaled A4C magnitude distribution
9.00000000000000,0.500000000000000,CURRENT_PARTITION_SENSITIVITY,9.32784269063596e-05,4.50000000000000,4.66392134531798e-05,3.23722780578521e-07,6.06222435540301e-10,1.57706148683741e-07,1.31997635868606e-10,2.77093945863640e-07,7.09965569552174e-08,1.76693519698577e-07,1.98013705086753e-07,4.87870518709100e-08,0.309354151871061,0.00000000000000,0.00000000000000,PASS,Li-EQUIVALENT; not predicted retained metallic Li; area-weighted scaled A4C magnitude distribution
9.00000000000000,0.750000000000000,CURRENT_PARTITION_SENSITIVITY,9.32784269063596e-05,6.75000000000000,6.99588201797697e-05,4.85584170867781e-07,9.09333653310452e-10,2.36559223025612e-07,1.97996453802910e-10,4.15640918795459e-07,1.06494835432826e-07,2.65040279547865e-07,2.97020557630129e-07,7.31805778063650e-08,0.309354151871061,0.00000000000000,0.00000000000000,PASS,Li-EQUIVALENT; not predicted retained metallic Li; area-weighted scaled A4C magnitude distribution
9.00000000000000,1.00000000000000,NUMERICAL_UPPER_BOUND,9.32784269063596e-05,9.00000000000000,9.32784269063596e-05,6.47445561157042e-07,1.21244487108060e-09,3.15412297367482e-07,2.63995271737213e-10,5.54187891727279e-07,1.41993113910435e-07,3.53387039397153e-07,3.96027410173506e-07,9.75741037418200e-08,0.309354151871061,0.00000000000000,0.00000000000000,PASS,Li-EQUIVALENT; not predicted retained metallic Li; area-weighted scaled A4C magnitude distribution
45.0000000000000,0.250000000000000,CURRENT_PARTITION_SENSITIVITY,0.000466392134531798,11.2500000000000,0.000116598033632949,8.09306951446302e-07,1.51555608885075e-09,3.94265371709353e-07,3.29994089671516e-10,6.92734864659099e-07,1.77491392388043e-07,4.41733799246441e-07,4.95034262716882e-07,1.21967629677275e-07,0.309354151871061,0.00000000000000,0.00000000000000,PASS,Li-EQUIVALENT; not predicted retained metallic Li; area-weighted scaled A4C magnitude distribution
45.0000000000000,0.500000000000000,CURRENT_PARTITION_SENSITIVITY,0.000466392134531798,22.5000000000000,0.000233196067265899,1.61861390289260e-06,3.03111217770151e-09,7.88530743418706e-07,6.59988179343032e-10,1.38546972931820e-06,3.54982784776087e-07,8.83467598492883e-07,9.90068525433764e-07,2.43935259354550e-07,0.309354151871061,0.00000000000000,0.00000000000000,PASS,Li-EQUIVALENT; not predicted retained metallic Li; area-weighted scaled A4C magnitude distribution
45.0000000000000,0.750000000000000,CURRENT_PARTITION_SENSITIVITY,0.000466392134531798,33.7500000000000,0.000349794100898848,2.42792085433891e-06,4.54666826655226e-09,1.18279611512806e-06,9.89982269014548e-10,2.07820459397730e-06,5.32474177164130e-07,1.32520139773932e-06,1.48510278815065e-06,3.65902889031825e-07,0.309354151871061,0.00000000000000,0.00000000000000,PASS,Li-EQUIVALENT; not predicted retained metallic Li; area-weighted scaled A4C magnitude distribution
45.0000000000000,1.00000000000000,NUMERICAL_UPPER_BOUND,0.000466392134531798,45.0000000000000,0.000466392134531798,3.23722780578521e-06,6.06222435540301e-09,1.57706148683741e-06,1.31997635868606e-09,2.77093945863640e-06,7.09965569552174e-07,1.76693519698577e-06,1.98013705086753e-06,4.87870518709100e-07,0.309354151871061,0.00000000000000,0.00000000000000,PASS,Li-EQUIVALENT; not predicted retained metallic Li; area-weighted scaled A4C magnitude distribution
54.0000000000000,0.250000000000000,CURRENT_PARTITION_SENSITIVITY,0.000559670561438157,13.5000000000000,0.000139917640359539,9.71168341735563e-07,1.81866730662090e-09,4.73118446051224e-07,3.95992907605819e-10,8.31281837590919e-07,2.12989670865652e-07,5.30080559095730e-07,5.94041115260259e-07,1.46361155612730e-07,0.309354151871061,0.00000000000000,0.00000000000000,PASS,Li-EQUIVALENT; not predicted retained metallic Li; area-weighted scaled A4C magnitude distribution
54.0000000000000,0.500000000000000,CURRENT_PARTITION_SENSITIVITY,0.000559670561438157,27.0000000000000,0.000279835280719079,1.94233668347113e-06,3.63733461324181e-09,9.46236892102447e-07,7.91985815211638e-10,1.66256367518184e-06,4.25979341731304e-07,1.06016111819146e-06,1.18808223052052e-06,2.92722311225460e-07,0.309354151871061,0.00000000000000,0.00000000000000,PASS,Li-EQUIVALENT; not predicted retained metallic Li; area-weighted scaled A4C magnitude distribution
