landmark,cc_x_mm,cc_z_mm,mapped_X_mm,mapped_Y_mm,chamber_X_mm,chamber_Y_mm,residual_mm
BOLT_1,9.550000,-34.950000,-44.450000,19.050000,-44.450000,19.050000,3.5527136788e-15
BOLT_2,9.550000,-73.050000,-44.450000,-19.050000,-44.450000,-19.050000,3.5527136788e-15
BOLT_3,34.950000,-9.550000,-19.050000,44.450000,-19.050000,44.450000,3.5527136788e-15
BOLT_4,73.050000,-9.550000,19.050000,44.450000,19.050000,44.450000,3.5527136788e-15
BOLT_5,98.450000,-34.950000,44.450000,19.050000,44.450000,19.050000,3.5527136788e-15
BOLT_6,98.450000,-73.050000,44.450000,-19.050000,44.450000,-19.050000,3.5527136788e-15
BOLT_7,34.950000,-98.450000,-19.050000,-44.450000,-19.050000,-44.450000,3.5527136788e-15
BOLT_8,73.050000,-98.450000,19.050000,-44.450000,19.050000,-44.450000,3.5527136788e-15
